DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Santana do Mato                                           RICARDO ANTÓNIO VICENTE DE OLIVEIRA         GCE (GRUPO DE CIDADÃOS ELEITORES)
Fajarda                                                   BRUNO MIGUEL DA SILVA MARTINS               PS
Coruche                                                   FILIPE MIGUEL RODRIGUES LASCAS              PS
Couço                                                     MÁRIO JOSÉ FORTIO AFONSO                    PS
Branca                                                    HÉLDER MARQUES FORTIO                       PS
São José da Lamarosa                                      HÉLDER MANUEL AZEVEDO DA SILVA              PS
Erra                                                      JOÃO ANTÓNIO DE ALMEIDA FERREIRA NOGUEIRA   PPD/PSD
Biscainho                                                 ANA CATARINA FERREIRA RITA                  PPD/PSD

DISTRITO DE SANTARÉM                  Concelho de ENTRONCAMENTO
                          Freguesia                               Presidente             Força política
São João Baptista                                         -                                                    -
Nossa Senhora de Fátima                                   -                                                    -

DISTRITO DE SANTARÉM                  Concelho de FERREIRA DO ZÊZERE
                          Freguesia                                                Presidente                  Força política
Chãos                                                      EDMUNDO MARTINS FREITAS              PS
União das freguesias de Areias e Pias                      ANTÓNIO MARQUES DE OLIVEIRA          PPD/PSD.CDS-PP
Nossa Senhora do Pranto                                   -                                                    -
Ferreira do Zêzere                                         ARMANDO DO CARMO COTRIM              PS
Beco                                                       NELSON LOURENÇO POMBO                PS
Águas Belas                                                JOSÉ PEDRO PESTANA JOAQUIM           PS
Igreja Nova do Sobral                                      ANTÓNIO MANUEL DA CONCEIÇÃO NUNES    PPD/PSD.CDS-PP

DISTRITO DE SANTARÉM                Concelho de GOLEGÃ
                        Freguesia                                                Presidente                  Força política
Azinhaga                                                 RUI MANUEL SIMÕES CORREIA NEVES      PS
Golegã                                                   CARLOS MANUEL SANTANA MARTINS        GCE (GRUPO DE CIDADÃOS ELEITORES)
Pombalinho                                               FREDERICO JOSÉ PEREIRA LOPES         PS

DISTRITO DE SANTARÉM                Concelho de MAÇÃO
                        Freguesia                                                Presidente                  Força política
Envendos                                                 MIGUEL ALVES DE MATOS                PPD/PSD
União das freguesias de Mação, Penhascoso e Aboboreira   DANIEL FERNANDO MARQUES LOPES JANA   PS
Ortiga                                                   RUI FERNANDO EUSÉBIO DE MATOS DIAS   PS
Amêndoa                                                  FILIPA ALEXANDRA MARTINS GARCIA      PPD/PSD
Cardigos                                                 NUNO MIGUEL MATIAS TAVARES           PPD/PSD
Carvoeiro                                                CARLA CRISTINA MARQUES MARTINS       PPD/PSD

DISTRITO DE SANTARÉM                  Concelho de OURÉM
